	localization	go
C001324	lysosome	go3
C001325	lysosome	go4
C001326	mitochondria	go1
C001327	lysosome	go4
C001328	endoplasmic_reticulum	go2
C001329	mitochondria	go3
C001330	nucleus	go4
C001332	nucleus	go2
C001333	endoplasmic_reticulum	go2
C001334	endoplasmic_reticulum	go4
C001335	mitochondria	go2
C001336	endoplasmic_reticulum	go2
C001337	nucleus	go1
C001339	endoplasmic_reticulum	go2
C001340	endoplasmic_reticulum	go2
C001341	nucleus	go3
C001343	nucleus	go4
C001344	nucleus	go1
C001345	nucleus	go2
C001346	mitochondria	go4
C001347	mitochondria	go3
C001348	mitochondria	go3
C001349	lysosome	go1
C001351	nucleus	go1
C001353	endoplasmic_reticulum	go3
C001354	endoplasmic_reticulum	go1
C001355	nucleus	go2
C001356	endoplasmic_reticulum	go3
C001357	nucleus	go1
C001358	endoplasmic_reticulum	go1
C001359	mitochondria	go1
C001360	mitochondria	go4
C001361	mitochondria	go1
C001362	nucleus	go3
C001363	mitochondria	go3
C001364	lysosome	go3
C001365	nucleus	go4
C001366	mitochondria	go1
C001367	endoplasmic_reticulum	go3
C001368	nucleus	go1
C001371	lysosome	go1
C001372	nucleus	go4
C001373	endoplasmic_reticulum	go4
C001374	mitochondria	go1
C001375	lysosome	go1
C001376	lysosome	go2
C001377	endoplasmic_reticulum	go4
C001380	nucleus	go2
C001382	nucleus	go3
C001383	endoplasmic_reticulum	go3
C001384	lysosome	go4
C001385	endoplasmic_reticulum	go1
C001387	mitochondria	go3
C001388	nucleus	go3
C001389	mitochondria	go3
C001390	nucleus	go3
C001391	mitochondria	go2
C001393	lysosome	go4
C001394	endoplasmic_reticulum	go1
C001395	nucleus	go2
C001396	mitochondria	go2
C001397	lysosome	go2
C001398	endoplasmic_reticulum	go3
C001399	mitochondria	go4
C001400	lysosome	go3
C001402	nucleus	go1
C001403	lysosome	go3
C001404	nucleus	go1
C001405	lysosome	go2
C001406	endoplasmic_reticulum	go1
C001408	lysosome	go3
C001410	mitochondria	go3
C001411	nucleus	go2
C001412	mitochondria	go4
C001413	nucleus	go1
C001419	mitochondria	go4
C001422	mitochondria	go3
C001424	lysosome	go1
C001425	lysosome	go3
C001427	mitochondria	go4
C001428	endoplasmic_reticulum	go1
C001429	nucleus	go1
C001430	mitochondria	go3
C001431	nucleus	go3
C001432	lysosome	go3
C001433	lysosome	go3
C001434	nucleus	go1
C001435	endoplasmic_reticulum	go4
C001436	endoplasmic_reticulum	go1
C001438	lysosome	go4
C001442	nucleus	go2
C001443	nucleus	go2
C001444	lysosome	go1
C001447	nucleus	go4
C001448	lysosome	go1
C001451	lysosome	go2
C001453	nucleus	go3
C001454	lysosome	go3
C001455	endoplasmic_reticulum	go3
C001456	endoplasmic_reticulum	go2
C001457	mitochondria	go3
C001458	nucleus	go3
C001460	endoplasmic_reticulum	go3
C001461	nucleus	go2
C001462	mitochondria	go4
C001463	nucleus	go4
C001465	endoplasmic_reticulum	go1
C001467	lysosome	go2
C001468	mitochondria	go1
C001470	mitochondria	go1
C001471	mitochondria	go2
C001472	nucleus	go1
C001473	endoplasmic_reticulum	go1
C001475	mitochondria	go1
C001476	mitochondria	go3
C001477	nucleus	go4
C001478	endoplasmic_reticulum	go1
C001481	endoplasmic_reticulum	go4
C001483	nucleus	go4
C001484	nucleus	go3
C001485	lysosome	go3
C001486	lysosome	go2
C001489	lysosome	go1
C001490	mitochondria	go1
C001491	mitochondria	go4
C001492	endoplasmic_reticulum	go1
C001493	mitochondria	go4
C001494	endoplasmic_reticulum	go4
C001498	lysosome	go4
C001499	mitochondria	go2
C001500	endoplasmic_reticulum	go1
C001501	mitochondria	go2
C001502	endoplasmic_reticulum	go2
C001503	lysosome	go3
C001504	endoplasmic_reticulum	go2
C001505	endoplasmic_reticulum	go1
C001506	endoplasmic_reticulum	go3
C001508	mitochondria	go2
C001509	endoplasmic_reticulum	go1
C001510	lysosome	go4
C001511	mitochondria	go3
C001512	nucleus	go1
C001513	nucleus	go2
C001514	nucleus	go3
C001515	lysosome	go2
C001519	endoplasmic_reticulum	go1
C001520	endoplasmic_reticulum	go4
C001521	lysosome	go3
C001522	mitochondria	go2
C001523	nucleus	go2
C001524	endoplasmic_reticulum	go1
C001525	nucleus	go4
C001526	nucleus	go3
C001527	mitochondria	go4
C001528	endoplasmic_reticulum	go1
C001529	lysosome	go3
C001530	mitochondria	go3
C001531	lysosome	go3
C001532	endoplasmic_reticulum	go1
C001533	endoplasmic_reticulum	go1
C001534	lysosome	go1
C001535	mitochondria	go4
C001536	endoplasmic_reticulum	go1
C001538	lysosome	go3
C001539	nucleus	go3
C001540	mitochondria	go3
C001541	lysosome	go1
C001542	nucleus	go1
C001543	nucleus	go1
C001544	nucleus	go3
C001545	lysosome	go2
C001546	nucleus	go1
C001548	endoplasmic_reticulum	go1
C001549	lysosome	go1
C001550	mitochondria	go2
C001551	endoplasmic_reticulum	go3
C001555	mitochondria	go3
C001556	mitochondria	go2
C001557	nucleus	go2
C001558	lysosome	go2
C001559	nucleus	go4
C001560	lysosome	go3
C001561	endoplasmic_reticulum	go1
C001562	mitochondria	go2
C001563	nucleus	go4
C001565	endoplasmic_reticulum	go2
C001566	nucleus	go1
C001567	endoplasmic_reticulum	go1
C001568	mitochondria	go3
C001569	mitochondria	go2
C001572	lysosome	go2
C001573	endoplasmic_reticulum	go3
C001574	endoplasmic_reticulum	go4
C001575	endoplasmic_reticulum	go4
C001576	lysosome	go3
C001577	lysosome	go1
C001578	nucleus	go3
C001581	nucleus	go1
C001583	lysosome	go3
C001584	endoplasmic_reticulum	go3
C001585	nucleus	go1
C001586	lysosome	go4
C001589	nucleus	go1
C001590	mitochondria	go3
C001594	lysosome	go4
C001595	lysosome	go4
C001596	lysosome	go4
C001597	lysosome	go2
C001598	nucleus	go1
C001599	lysosome	go4
C001602	endoplasmic_reticulum	go3
C001603	nucleus	go1
C001604	nucleus	go4
C001607	nucleus	go2
C001608	lysosome	go4
C001609	nucleus	go3
C001610	mitochondria	go4
C001613	mitochondria	go2
C001615	endoplasmic_reticulum	go3
C001616	endoplasmic_reticulum	go3
C001617	endoplasmic_reticulum	go4
C001618	nucleus	go2
C001619	mitochondria	go4
C001622	lysosome	go3
C001623	nucleus	go2
C001624	endoplasmic_reticulum	go3
C001625	nucleus	go2
C001626	endoplasmic_reticulum	go4
C001627	endoplasmic_reticulum	go3
C001628	mitochondria	go3
C001629	mitochondria	go4
C001630	mitochondria	go4
C001631	endoplasmic_reticulum	go4
C001633	lysosome	go1
C001634	mitochondria	go4
C001637	endoplasmic_reticulum	go1
C001640	mitochondria	go1
C001642	mitochondria	go4
C001643	lysosome	go1
C001644	nucleus	go3
C001646	mitochondria	go2
C001647	lysosome	go4
C001648	mitochondria	go3
C001650	lysosome	go3
C001651	nucleus	go3
C001652	mitochondria	go3
C001653	endoplasmic_reticulum	go1
C001654	endoplasmic_reticulum	go4
C001655	nucleus	go4
C001656	mitochondria	go3
C001657	mitochondria	go2
C001658	nucleus	go4
C001659	mitochondria	go1
C001661	nucleus	go2
C001664	lysosome	go3
C001665	endoplasmic_reticulum	go2
C001666	nucleus	go1
C001669	endoplasmic_reticulum	go4
C001670	mitochondria	go1
C001671	endoplasmic_reticulum	go1
C001672	endoplasmic_reticulum	go4
C001673	lysosome	go4
C001674	nucleus	go4
C001676	mitochondria	go2
C001677	lysosome	go4
C001678	lysosome	go1
C001679	nucleus	go4
C001681	nucleus	go3
C001683	endoplasmic_reticulum	go2
C001685	mitochondria	go4
C001686	mitochondria	go2
C001687	nucleus	go2
C001688	endoplasmic_reticulum	go4
C001689	mitochondria	go2
C001690	lysosome	go4
C001691	mitochondria	go2
C001692	nucleus	go1
C001693	endoplasmic_reticulum	go3
C001694	nucleus	go3
C001695	mitochondria	go4
C001696	mitochondria	go2
C001697	nucleus	go1
C001699	endoplasmic_reticulum	go2
C001700	endoplasmic_reticulum	go4
C001701	lysosome	go1
C001702	mitochondria	go2
C001703	nucleus	go1
C001704	lysosome	go4
C001705	endoplasmic_reticulum	go1
C001706	mitochondria	go2
C001707	lysosome	go3
C001708	lysosome	go4
C001709	nucleus	go2
C001710	lysosome	go2
C001711	endoplasmic_reticulum	go2
C001712	lysosome	go1
C001713	endoplasmic_reticulum	go4
C001715	mitochondria	go4
C001717	nucleus	go1
C001718	lysosome	go3
C001723	nucleus	go4
C001724	nucleus	go1
C001726	mitochondria	go1
C001727	mitochondria	go4
C001728	lysosome	go4
C001729	lysosome	go4
C001730	endoplasmic_reticulum	go4
C001731	nucleus	go2
C001735	nucleus	go1
C001736	endoplasmic_reticulum	go3
C001737	mitochondria	go2
C001739	mitochondria	go3
C001742	endoplasmic_reticulum	go3
C001743	endoplasmic_reticulum	go3
C001744	mitochondria	go3
C001745	nucleus	go1
C001746	lysosome	go2
C001748	endoplasmic_reticulum	go3
C001749	mitochondria	go2
C001750	nucleus	go3
C001751	nucleus	go3
C001752	endoplasmic_reticulum	go3
C001753	mitochondria	go3
C001754	lysosome	go2
C001756	mitochondria	go3
C001757	mitochondria	go4
C001758	lysosome	go3
C001759	lysosome	go2
C001761	lysosome	go3
C001762	mitochondria	go1
C001763	lysosome	go4
C001764	nucleus	go1
C001765	mitochondria	go2
C001767	mitochondria	go2
C001768	endoplasmic_reticulum	go4
C001769	endoplasmic_reticulum	go1
C001771	lysosome	go1
C001772	lysosome	go4
C001773	endoplasmic_reticulum	go1
C001775	endoplasmic_reticulum	go2
C001777	nucleus	go2
C001778	lysosome	go2
C001782	endoplasmic_reticulum	go2
C001783	nucleus	go4
C001784	lysosome	go4
C001785	mitochondria	go2
C001786	endoplasmic_reticulum	go3
C001787	nucleus	go1
C001788	nucleus	go2
C001789	lysosome	go4
C001791	endoplasmic_reticulum	go4
C001792	endoplasmic_reticulum	go3
C001793	mitochondria	go4
C001794	nucleus	go2
C001796	mitochondria	go3
C001797	endoplasmic_reticulum	go1
C001798	mitochondria	go3
C001799	mitochondria	go2
C001800	endoplasmic_reticulum	go3
C001802	nucleus	go4
C001803	endoplasmic_reticulum	go4
C001804	endoplasmic_reticulum	go3
C001805	nucleus	go3
C001806	endoplasmic_reticulum	go2
C001807	mitochondria	go3
C001808	nucleus	go2
C001809	mitochondria	go4
C001810	endoplasmic_reticulum	go1
C001811	mitochondria	go3
C001812	endoplasmic_reticulum	go4
C001813	nucleus	go2
C001814	nucleus	go1
C001815	lysosome	go2
C001816	endoplasmic_reticulum	go2
C001818	mitochondria	go2
C001819	mitochondria	go2
C001820	lysosome	go2
C001821	endoplasmic_reticulum	go4
C001823	lysosome	go4
C001824	endoplasmic_reticulum	go3
C001826	lysosome	go3
C001829	lysosome	go2
C001830	nucleus	go4
C001831	lysosome	go3
C001832	lysosome	go4
C001833	mitochondria	go2
C001834	lysosome	go3
C001836	mitochondria	go2
C001837	endoplasmic_reticulum	go3
C001840	endoplasmic_reticulum	go2
C001841	endoplasmic_reticulum	go4
C001842	nucleus	go3
C001843	nucleus	go4
C001844	nucleus	go2
C001845	mitochondria	go3
C001846	nucleus	go2
C001847	nucleus	go3
C001849	endoplasmic_reticulum	go3
C001850	lysosome	go4
C001853	nucleus	go3
C001854	endoplasmic_reticulum	go1
C001855	mitochondria	go2
C001856	nucleus	go4
C001857	lysosome	go2
C001858	nucleus	go2
C001859	nucleus	go1
C001860	mitochondria	go3
C001861	nucleus	go4
C001862	lysosome	go3
C001863	endoplasmic_reticulum	go1
C001864	lysosome	go1
C001867	lysosome	go4
C001868	mitochondria	go4
C001869	nucleus	go2
C001870	nucleus	go3
C001871	mitochondria	go2
C001872	mitochondria	go3
C001874	mitochondria	go3
C001875	nucleus	go2
C001876	mitochondria	go4
C001881	endoplasmic_reticulum	go4
C001882	nucleus	go3
C001883	mitochondria	go1
C001884	endoplasmic_reticulum	go4
C001885	nucleus	go2
C001886	nucleus	go4
C001887	endoplasmic_reticulum	go1
C001888	nucleus	go4
C001889	nucleus	go4
C001890	lysosome	go1
C001893	lysosome	go4
C001894	endoplasmic_reticulum	go2
C001895	endoplasmic_reticulum	go2
C001896	nucleus	go3
C001898	nucleus	go1
C001899	nucleus	go1
C001900	mitochondria	go1
C001901	mitochondria	go4
C001903	endoplasmic_reticulum	go2
C001905	endoplasmic_reticulum	go2
C001906	endoplasmic_reticulum	go2
C001909	nucleus	go3
C001910	nucleus	go2
C001912	nucleus	go4
C001913	endoplasmic_reticulum	go4
C001914	mitochondria	go3
C001915	endoplasmic_reticulum	go3
C001916	endoplasmic_reticulum	go2
C001917	mitochondria	go2
C001918	lysosome	go4
C001919	mitochondria	go3
C001920	endoplasmic_reticulum	go1
C001922	mitochondria	go2
C001924	nucleus	go3
C001925	nucleus	go3
C001926	lysosome	go2
C001928	nucleus	go2
C001930	lysosome	go3
C001931	mitochondria	go1
C001933	mitochondria	go1
C001934	nucleus	go3
C001935	lysosome	go2
C001936	lysosome	go1
C001937	nucleus	go3
C001940	endoplasmic_reticulum	go4
C001941	mitochondria	go2
C001942	mitochondria	go2
C001944	endoplasmic_reticulum	go4
C001945	nucleus	go3
C001946	mitochondria	go2
C001947	lysosome	go1
C001949	endoplasmic_reticulum	go1
C001951	lysosome	go3
C001952	mitochondria	go4
C001953	endoplasmic_reticulum	go4
C001954	mitochondria	go4
C001955	endoplasmic_reticulum	go4
C001956	lysosome	go3
C001957	nucleus	go1
C001958	nucleus	go3
C001960	lysosome	go4
C001961	mitochondria	go2
C001962	mitochondria	go3
C001963	mitochondria	go3
C001964	endoplasmic_reticulum	go2
C001965	endoplasmic_reticulum	go1
C001968	lysosome	go1
C001969	mitochondria	go3
C001970	lysosome	go2
C001974	nucleus	go1
C001976	mitochondria	go1
C001977	nucleus	go1
C001978	lysosome	go4
C001979	endoplasmic_reticulum	go1
C001980	mitochondria	go2
C001981	nucleus	go1
C001982	endoplasmic_reticulum	go3
C001983	mitochondria	go1
C001984	endoplasmic_reticulum	go3
C001986	lysosome	go4
C001987	endoplasmic_reticulum	go1
C001988	lysosome	go2
C001989	nucleus	go4
C001990	lysosome	go3
C001991	lysosome	go2
C001992	mitochondria	go4
C001993	nucleus	go1
C001997	nucleus	go2
C001998	mitochondria	go4
C001999	endoplasmic_reticulum	go4
C002000	mitochondria	go2
C002001	nucleus	go1
C002002	lysosome	go2
C002003	endoplasmic_reticulum	go3
C002004	mitochondria	go1
C002006	mitochondria	go4
C002007	lysosome	go4
C002008	mitochondria	go4
C002009	endoplasmic_reticulum	go1
C002010	lysosome	go3
C002013	mitochondria	go1
C002014	lysosome	go2
C002016	lysosome	go4
C002018	nucleus	go3
C002020	lysosome	go3
C002022	lysosome	go4
C002023	mitochondria	go1
C002024	lysosome	go3
C002025	mitochondria	go4
C002027	endoplasmic_reticulum	go3
C002028	endoplasmic_reticulum	go4
C002029	mitochondria	go4
C002030	nucleus	go4
C002031	mitochondria	go4
C002032	endoplasmic_reticulum	go3
C002035	mitochondria	go3
C002036	lysosome	go4
C002037	mitochondria	go3
C002039	nucleus	go1
C002040	endoplasmic_reticulum	go4
C002041	nucleus	go2
C002043	nucleus	go4
C002044	mitochondria	go4
C002045	nucleus	go1
C002046	endoplasmic_reticulum	go4
C002048	lysosome	go3
C002050	endoplasmic_reticulum	go4
C002052	mitochondria	go3
C002053	lysosome	go2
C002054	endoplasmic_reticulum	go3
C002056	nucleus	go2
C002059	lysosome	go3
C002060	endoplasmic_reticulum	go3
C002061	nucleus	go4
C002062	lysosome	go3
C002063	lysosome	go4
C002064	nucleus	go2
C002070	endoplasmic_reticulum	go4
C002071	lysosome	go1
C002074	nucleus	go3
C002075	mitochondria	go1
C002077	endoplasmic_reticulum	go2
C002078	nucleus	go4
C002079	endoplasmic_reticulum	go1
C002080	lysosome	go2
C002082	mitochondria	go4
C002083	lysosome	go1
C002085	lysosome	go1
C002086	nucleus	go4
C002087	lysosome	go2
C002088	nucleus	go4
C002090	endoplasmic_reticulum	go4
C002092	lysosome	go2
C002093	mitochondria	go2
C002094	endoplasmic_reticulum	go1
C002096	mitochondria	go2
C002097	mitochondria	go4
C002098	endoplasmic_reticulum	go2
C002099	mitochondria	go2
C002100	endoplasmic_reticulum	go3
C002101	nucleus	go4
C002103	mitochondria	go4
C002104	endoplasmic_reticulum	go4
C002105	lysosome	go2
C002106	nucleus	go1
C002107	lysosome	go3
C002108	nucleus	go3
C002111	lysosome	go4
C002112	mitochondria	go2
C002114	mitochondria	go1
C002115	nucleus	go3
C002116	nucleus	go1
C002117	endoplasmic_reticulum	go2
C002118	nucleus	go4
C002119	lysosome	go3
C002120	endoplasmic_reticulum	go4
C002121	mitochondria	go2
C002122	endoplasmic_reticulum	go3
C002124	nucleus	go3
C002125	mitochondria	go2
C002127	nucleus	go3
C002128	lysosome	go4
C002130	mitochondria	go4
C002131	lysosome	go4
C002133	mitochondria	go3
C002134	lysosome	go3
C002135	nucleus	go2
C002137	nucleus	go3
C002138	nucleus	go1
C002139	mitochondria	go4
C002140	endoplasmic_reticulum	go4
C002141	mitochondria	go3
C002142	lysosome	go2
C002143	lysosome	go1
C002144	lysosome	go2
C002146	mitochondria	go4
C002147	nucleus	go3
C002148	mitochondria	go1
C002150	lysosome	go4
C002151	nucleus	go2
C002152	lysosome	go4
C002153	nucleus	go3
C002154	lysosome	go3
C002155	endoplasmic_reticulum	go1
C002156	mitochondria	go2
C002157	mitochondria	go2
C002158	mitochondria	go4
C002159	endoplasmic_reticulum	go3
C002160	nucleus	go3
C002161	lysosome	go4
C002162	endoplasmic_reticulum	go1
C002163	nucleus	go2
C002168	nucleus	go4
C002169	nucleus	go1
C002170	mitochondria	go3
C002171	endoplasmic_reticulum	go3
C002173	endoplasmic_reticulum	go1
C002174	mitochondria	go2
C002175	endoplasmic_reticulum	go1
C002176	endoplasmic_reticulum	go4
C002177	nucleus	go3
C002180	lysosome	go1
C002181	lysosome	go2
C002183	endoplasmic_reticulum	go4
C002184	mitochondria	go3
C002186	nucleus	go1
C002188	nucleus	go3
C002189	lysosome	go3
C002190	nucleus	go3
C002192	nucleus	go2
C002194	mitochondria	go3
C002195	endoplasmic_reticulum	go4
C002196	nucleus	go3
C002197	endoplasmic_reticulum	go1
C002198	lysosome	go3
C002199	endoplasmic_reticulum	go2
C002202	lysosome	go2
C002203	endoplasmic_reticulum	go1
C002204	lysosome	go2
C002206	mitochondria	go3
C002207	mitochondria	go3
C002208	mitochondria	go1
C002209	lysosome	go3
C002210	lysosome	go4
C002211	endoplasmic_reticulum	go4
C002212	endoplasmic_reticulum	go3
C002213	lysosome	go4
C002214	lysosome	go3
C002217	mitochondria	go4
C002218	lysosome	go4
C002219	lysosome	go3
C002220	endoplasmic_reticulum	go1
C002221	mitochondria	go4
C002222	mitochondria	go4
C002223	lysosome	go1
C002224	endoplasmic_reticulum	go3
C002225	mitochondria	go2
C002227	nucleus	go2
C002229	mitochondria	go1
C002230	lysosome	go1
C002231	mitochondria	go2
C002232	endoplasmic_reticulum	go2
C002234	lysosome	go4
C002235	endoplasmic_reticulum	go3
C002236	nucleus	go4
C002238	lysosome	go1
C002239	mitochondria	go1
C002240	lysosome	go3
C002241	nucleus	go3
C002242	nucleus	go2
C002244	lysosome	go2
C002245	nucleus	go3
C002248	lysosome	go4
C002249	endoplasmic_reticulum	go4
C002250	endoplasmic_reticulum	go3
C002251	lysosome	go1
C002252	endoplasmic_reticulum	go3
C002253	mitochondria	go4
C002254	endoplasmic_reticulum	go3
C002255	endoplasmic_reticulum	go1
C002256	nucleus	go3
C002258	lysosome	go2
C002259	lysosome	go4
C002260	endoplasmic_reticulum	go4
C002263	mitochondria	go3
C002264	endoplasmic_reticulum	go1
C002265	nucleus	go4
C002266	nucleus	go2
C002267	nucleus	go1
C002268	mitochondria	go1
C002269	endoplasmic_reticulum	go4
C002270	nucleus	go2
C002271	nucleus	go2
C002272	mitochondria	go4
C002274	lysosome	go1
C002276	nucleus	go4
C002278	mitochondria	go4
C002279	lysosome	go1
C002281	endoplasmic_reticulum	go1
C002282	lysosome	go2
C002284	lysosome	go2
C002285	lysosome	go4
C002286	endoplasmic_reticulum	go4
C002287	nucleus	go1
C002288	lysosome	go1
C002290	mitochondria	go4
C002291	lysosome	go4
C002292	nucleus	go4
C002293	nucleus	go2
C002294	endoplasmic_reticulum	go3
C002295	lysosome	go1
C002296	endoplasmic_reticulum	go1
C002297	lysosome	go1
C002298	mitochondria	go2
C002299	nucleus	go4
C002300	nucleus	go2
C002302	nucleus	go2
C002303	endoplasmic_reticulum	go3
C002306	nucleus	go2
C002307	nucleus	go4
C002312	lysosome	go3
C002313	nucleus	go2
C002314	mitochondria	go2
C002315	endoplasmic_reticulum	go1
C002316	lysosome	go3
C002317	mitochondria	go3
C002319	mitochondria	go1
C002320	nucleus	go3
C002321	lysosome	go3
C002324	endoplasmic_reticulum	go4
C002325	nucleus	go2
C002326	endoplasmic_reticulum	go2
C002327	nucleus	go2
C002328	endoplasmic_reticulum	go1
C002330	mitochondria	go4
C002331	lysosome	go4
C002332	mitochondria	go1
C002333	nucleus	go1
C002334	mitochondria	go1
C002335	mitochondria	go2
C002337	lysosome	go2
C002338	nucleus	go4
C002339	mitochondria	go4
C002341	endoplasmic_reticulum	go4
C002342	mitochondria	go4
C002343	lysosome	go2
C002344	endoplasmic_reticulum	go4
C002345	endoplasmic_reticulum	go3
C002346	endoplasmic_reticulum	go1
C002347	nucleus	go2
C002348	lysosome	go4
C002352	endoplasmic_reticulum	go3
C002353	endoplasmic_reticulum	go2
C002354	mitochondria	go2
C002356	nucleus	go1
C002357	mitochondria	go1
C002358	mitochondria	go2
C002359	lysosome	go4
C002360	nucleus	go1
C002361	lysosome	go3
C002362	nucleus	go3
C002363	nucleus	go1
C002364	nucleus	go1
C002365	endoplasmic_reticulum	go4
C002366	lysosome	go3
C002367	endoplasmic_reticulum	go3
C002368	mitochondria	go1
C002369	lysosome	go4
C002370	lysosome	go2
C002371	endoplasmic_reticulum	go2
C002372	endoplasmic_reticulum	go2
C002373	lysosome	go3
C002374	lysosome	go4
C002375	mitochondria	go1
C002376	mitochondria	go1
C002377	endoplasmic_reticulum	go1
C002379	nucleus	go4
C002380	nucleus	go2
C002383	mitochondria	go2
C002384	mitochondria	go3
C002385	lysosome	go4
C002386	nucleus	go3
C002387	nucleus	go1
C002388	mitochondria	go3
C002391	lysosome	go2
C002392	mitochondria	go2
C002394	nucleus	go4
C002395	nucleus	go4
C002396	lysosome	go2
C002397	endoplasmic_reticulum	go2
C002398	mitochondria	go1
C002399	endoplasmic_reticulum	go3
C002400	lysosome	go3
C002402	mitochondria	go3
C002403	mitochondria	go4
C002404	endoplasmic_reticulum	go4
C002405	lysosome	go2
C002407	lysosome	go2
C002408	nucleus	go3
C002410	mitochondria	go3
C002411	lysosome	go4
C002412	endoplasmic_reticulum	go2
C002413	endoplasmic_reticulum	go1
C002414	mitochondria	go2
C002416	lysosome	go2
C002417	lysosome	go3
C002418	nucleus	go3
C002419	lysosome	go2
C002420	endoplasmic_reticulum	go3
C002421	nucleus	go1
C002422	nucleus	go4
C002423	endoplasmic_reticulum	go3
C002424	lysosome	go1
C002427	lysosome	go2
C002428	nucleus	go4
C002429	endoplasmic_reticulum	go1
C002430	endoplasmic_reticulum	go2
C002432	nucleus	go4
C002433	endoplasmic_reticulum	go2
C002434	nucleus	go2
C002435	lysosome	go3
C002436	mitochondria	go1
C002437	mitochondria	go3
C002438	lysosome	go2
C002439	nucleus	go4
C002440	lysosome	go3
C002441	mitochondria	go1
C002442	endoplasmic_reticulum	go2
C002443	mitochondria	go4
C002445	endoplasmic_reticulum	go1
C002446	mitochondria	go3
C002447	endoplasmic_reticulum	go4
C002448	mitochondria	go1
C002449	lysosome	go3
C002451	mitochondria	go2
C002452	lysosome	go4
C002456	nucleus	go4
C002457	mitochondria	go3
C002459	mitochondria	go2
C002460	lysosome	go3
C002461	endoplasmic_reticulum	go1
C002462	endoplasmic_reticulum	go3
C002463	mitochondria	go2
C002467	lysosome	go3
C002468	nucleus	go3
C002471	nucleus	go2
C002473	mitochondria	go3
C002476	endoplasmic_reticulum	go3
C002477	lysosome	go1
C002478	lysosome	go1
C002479	nucleus	go3
C002480	endoplasmic_reticulum	go2
C002481	endoplasmic_reticulum	go4
C002482	endoplasmic_reticulum	go3
C002483	endoplasmic_reticulum	go2
C002484	mitochondria	go2
C002485	endoplasmic_reticulum	go2
C002486	lysosome	go4
C002487	mitochondria	go4
C002488	mitochondria	go1
C002489	endoplasmic_reticulum	go4
C002490	lysosome	go1
C002491	mitochondria	go2
C002492	nucleus	go4
C002493	lysosome	go2
C002494	endoplasmic_reticulum	go1
C002495	mitochondria	go4
C002496	endoplasmic_reticulum	go2
C002497	endoplasmic_reticulum	go4
C002498	lysosome	go3
C002499	lysosome	go2
C002500	mitochondria	go2
C002501	nucleus	go1
C002503	mitochondria	go3
C002506	endoplasmic_reticulum	go3
C002508	mitochondria	go1
C002509	endoplasmic_reticulum	go4
C002510	mitochondria	go3
C002511	lysosome	go2
C002512	mitochondria	go4
C002513	mitochondria	go1
C002514	mitochondria	go2
C002515	lysosome	go2
C002519	nucleus	go4
C002520	lysosome	go1
C002521	mitochondria	go2
C002522	lysosome	go1
C002523	mitochondria	go4
C002524	endoplasmic_reticulum	go4
C002525	nucleus	go2
C002527	nucleus	go2
C002528	nucleus	go3
C002529	lysosome	go2
C002531	lysosome	go4
C002533	lysosome	go4
C002534	mitochondria	go4
C002535	nucleus	go3
C002536	endoplasmic_reticulum	go3
C002537	mitochondria	go2
C002538	lysosome	go4
C002539	mitochondria	go4
C002540	endoplasmic_reticulum	go3
C002541	endoplasmic_reticulum	go3
C002542	nucleus	go4
C002543	nucleus	go2
C002544	lysosome	go1
C002545	mitochondria	go4
C002547	mitochondria	go3
C002548	nucleus	go3
C002549	mitochondria	go3
C002550	endoplasmic_reticulum	go2
C002551	lysosome	go2
C002552	lysosome	go1
C002553	endoplasmic_reticulum	go1
C002556	lysosome	go3
C002557	endoplasmic_reticulum	go2
C002559	lysosome	go1
C002560	lysosome	go1
C002561	endoplasmic_reticulum	go2
C002562	endoplasmic_reticulum	go3
C002563	mitochondria	go2
C002564	nucleus	go3
C002565	lysosome	go4
C002567	mitochondria	go3
C002569	mitochondria	go1
C002570	lysosome	go2
C002571	mitochondria	go4
C002573	mitochondria	go1
C002574	mitochondria	go2
C002577	mitochondria	go1
C002579	endoplasmic_reticulum	go3
C002580	nucleus	go1
C002581	mitochondria	go2
C002582	nucleus	go2
C002584	mitochondria	go3
C002586	mitochondria	go4
C002587	nucleus	go3
C002588	nucleus	go2
C002590	endoplasmic_reticulum	go2
C002591	endoplasmic_reticulum	go2
C002592	lysosome	go4
C002593	mitochondria	go1
C002594	lysosome	go2
C002597	mitochondria	go4
C002599	lysosome	go3
C002600	nucleus	go4
C002603	endoplasmic_reticulum	go1
C002604	nucleus	go1
C002605	nucleus	go4
C002606	nucleus	go2
C002607	nucleus	go2
C002608	lysosome	go3
C002609	endoplasmic_reticulum	go4
C002611	nucleus	go2
C002612	nucleus	go4
C002613	lysosome	go2
C002614	endoplasmic_reticulum	go2
C002615	mitochondria	go2
C002616	mitochondria	go2
C002617	lysosome	go4
C002618	nucleus	go4
C002619	lysosome	go4
C002623	endoplasmic_reticulum	go3
C002625	nucleus	go2
C002626	lysosome	go1
C002627	endoplasmic_reticulum	go1
C002628	mitochondria	go1
C002629	lysosome	go3
C002630	nucleus	go4
C002631	lysosome	go4
C002632	endoplasmic_reticulum	go4
C002633	lysosome	go2
C002634	mitochondria	go1
C002635	endoplasmic_reticulum	go4
C002637	endoplasmic_reticulum	go3
C002638	nucleus	go1
C002639	mitochondria	go1
C002642	lysosome	go4
C002643	endoplasmic_reticulum	go1
C002645	endoplasmic_reticulum	go2
C002646	nucleus	go2
